id,type,text
rookie,spawn,血を吸わせてもらうぞ！
rookie,spawn,見つけたぞ！
rookie,evade,おっと危ない！
rookie,evade,先輩、見てますか！？
rookie,destroy,ぎゃー！
rookie,destroy,教育係ぃぃ！！
rookie,sucking,いただきます！
rookie,complete,勝った……！
aggressive,spawn,逃げられると思ったか！
aggressive,spawn,私は速いぞ！
aggressive,evade,遅い遅い！
aggressive,destroy,そんな馬鹿な！
aggressive,sucking,その血、もらった！
aggressive,complete,完全勝利だ！
mobile,spawn,ターゲット確認……
mobile,spawn,任務了解！
mobile,evade,甘いな……
mobile,evade,当たりはしない！
mobile,evade,見切った！
mobile,destroy,直撃だと！？
mobile,destroy,これが若さか……
mobile,destroy,左舷、被弾！
mobile,destroy,クッ！？調整不足か……
mobile,sucking,そこまでだ！
mobile,sucking,これが★４の血液とやらか！
mobile,complete,任務完了……
mobile,complete,帰投する！
zawa,spawn,勝てる……！
zawa,spawn,ざわ……
zawa,evade,僥倖っ……！
zawa,evade,読み切った……！
zawa,destroy,グッ……！
zawa,sucking,勝たなければゴミ！
zawa,complete,悪魔的だ……！
zawa,complete,圧倒的血液……！
jojo,spawn,フフフ……
jojo,evade,ニヤリ……
jojo,evade,そこにシビれる！
jojo,destroy,バカな……
jojo,destroy,な、なんだと……
jojo,sucking,無駄無駄無駄ァ！
jojo,sucking,勝った！！
jojo,sucking,ズギュウウウン！
jojo,sucking,ＷＲＹＹＹＹ！！
jojo,complete,実に馴染むぞ！
jojo,complete,最高にハイってやつだ！
titan,spawn,駆逐してやる！！
titan,spawn,奇行種か！？
titan,evade,立体機動！
titan,destroy,これが地ならし……
titan,destroy,成果なし、か……
titan,sucking,血を捧げよ！
titan,complete,作戦成功！！
